,word,len,freq,pron,phlen,orthsyl,ortho,phono
38,abdominal,9,126,{bdQmInl,8,ab-dom-i-nal,True,True
39,abduct,6,4,@bdVkt,6,ab-duct,True,True
40,abducted,8,10,@bdVktId,8,ab-duct-ed,True,True
41,abducting,9,5,@bdVktIN,8,ab-duct-ing,True,True
42,abduction,9,10,{bdVkSn,7,ab-duc-tion,True,True
43,abductions,10,1,{bdVkSnz,8,ab-duc-tions,True,True
44,abed,4,4,@bEd,4,a-bed,True,True
45,aberrant,8,11,{bEr@nt,7,ab-er-rant,True,True
46,aberration,10,32,{b@reISn,8,ab-er-ra-tion,True,True
47,aberrations,11,18,{b@reISnz,9,ab-er-ra-tions,True,True
48,abet,4,4,@bEt,4,a-bet,True,True
49,abets,5,2,@bEts,5,a-bets,True,True
50,abetted,7,20,@bEtId,6,a-bet-ted,True,True
51,abetting,8,7,@bEtIN,6,a-bet-ting,True,True
52,abettors,8,1,@bEt@z,6,a-bet-tors,True,True
53,abeyance,8,17,@beI@ns,7,a-bey-ance,True,True
55,abhorred,8,15,@bh$d,5,ab-horred,True,True
56,abhorrence,10,7,@bhQr@ns,8,ab-hor-rence,True,True
57,abhorrent,9,23,@bhQr@nt,8,ab-hor-rent,True,True
58,abhorring,9,1,@bh$rIN,7,ab-hor-ring,True,True
59,abhors,6,11,@bh$z,5,ab-hors,True,True
60,abide,5,68,@baId,5,a-bide,True,True
61,abided,6,5,@baIdId,7,a-bid-ed,True,True
62,abides,6,8,@baIdz,6,a-bides,True,True
63,abiding,7,40,@baIdIN,7,a-bid-ing,True,True
64,abilities,9,196,@bIl@tIz,8,a-bil-i-ties,True,True
66,abject,6,57,{bdZEkt,7,ab-ject,True,True
67,abjection,9,3,{bdZEkSn,8,ab-jec-tion,True,True
68,abjectly,8,4,{bdZEktlI,9,ab-ject-ly,True,True
69,abjure,6,4,@bdZU@r,7,ab-jure,True,True
70,abjures,7,1,@bdZU@z,7,ab-jures,True,True
71,ablative,8,2,{bl@tIv,7,ab-la-tive,True,True
72,ablaze,6,29,@bleIz,6,a-blaze,True,True
75,abler,5,3,eIbl@r,6,a-bler,True,True
76,ablest,6,14,eIblIst,7,a-blest,True,True
77,ablution,8,2,@bluSn,6,ab-lu-tion,True,True
78,ablutions,9,6,@bluSnz,7,ab-lu-tions,True,True
79,ably,4,65,eIblI,5,a-bly,True,True
80,abnegating,10,1,{bnIgeItIN,10,ab-ne-gat-ing,True,True
81,abnegation,10,2,{bnIgeISn,9,ab-ne-ga-tion,True,True
82,abnormal,8,105,{bn$ml,6,ab-nor-mal,True,True
83,abnormalities,13,15,{bn$m{l@tIz,11,ab-nor-mal-i-ties,True,True
84,abnormality,11,24,{bn$m{l@tI,10,ab-nor-mal-i-ty,True,True
85,abnormally,10,28,{bn$m@lI,8,ab-nor-mal-ly,True,True
86,abo,3,6,{b@U,4,ab-o,True,True
87,aboard,6,285,@b$d,4,a-board,True,True
88,abode,5,27,@b@Ud,5,a-bode,True,True
89,abodes,6,4,@b@Udz,6,a-bodes,True,True
90,abolish,7,108,@bQlIS,6,a-bol-ish,True,True
91,abolished,9,155,@bQlISt,7,a-bol-ished,True,True
92,abolishes,9,3,@bQlISIz,8,a-bol-ish-es,True,True
93,abolishing,10,35,@bQlISIN,8,a-bol-ish-ing,True,True
94,abolition,9,139,{b@UlISn,8,ab-o-li-tion,True,True
95,abolitionist,12,9,{b@UlIS@nIst,12,ab-o-li-tion-ist,True,True
96,abolitionists,13,13,{b@UlIS@nIsts,13,ab-o-li-tion-ists,True,True
97,abomb,5,9,eIbQm,5,A--bomb,True,True
98,abombs,6,3,eIbQmz,6,A--bombs,True,True
99,abominable,10,43,@bQmIn@bl,9,a-bom-i-na-ble,True,True
100,abominably,10,18,@bQmIn@blI,10,a-bom-i-na-bly,True,True
101,abominate,9,4,@bQmIneIt,9,a-bom-i-nate,True,True
102,abominating,11,1,@bQmIneItIN,11,a-bom-i-nat-ing,True,True
103,abomination,11,21,@bQmIneISn,10,a-bom-i-na-tion,True,True
104,abominations,12,3,@bQmIneISnz,11,a-bom-i-na-tions,True,True
105,aboriginal,10,118,{b@rIdZ@nl,10,ab-o-rig-i-nal,True,True
106,aboriginals,11,5,{b@rIdZ@nlz,11,ab-o-rig-i-nals,True,True
108,aborigines,10,50,{b@rIdZ@nIz,11,ab-o-rig-i-nes,True,True
109,abort,5,12,@b$t,4,a-bort,True,True
110,aborted,7,20,@b$tId,6,a-bort-ed,True,True
111,aborting,8,3,@b$tIN,6,a-bort-ing,True,True
112,abortion,8,290,@b$Sn,5,a-bor-tion,True,True
113,abortionist,11,13,@b$SnIst,8,a-bor-tion-ist,True,True
114,abortionists,12,5,@b$SnIsts,9,a-bor-tion-ists,True,True
115,abortions,9,61,@b$Snz,6,a-bor-tions,True,True
116,abortive,8,59,@b$tIv,6,a-bor-tive,True,True
117,abound,6,40,@baUnd,6,a-bound,True,True
119,abounding,9,8,@baUndIN,8,a-bound-ing,True,True
120,abounds,7,16,@baUndz,7,a-bounds,True,True
121,about,5,44684,@baUt,5,a-bout,True,True
123,above,5,4020,@bVv,4,a-bove,True,True
124,aboveboard,10,2,@bVvb$d,7,a-bove-board,True,True
125,abovenamed,10,1,@bVvneImd,9,a-bove--named,True,True
126,abracadabra,11,2,{br@k@d{br@,11,ab-ra-ca-dab-ra,True,True
127,abraded,7,5,@breIdId,8,a-brad-ed,True,True
128,abrasion,8,4,@breIZn,7,a-bra-sion,True,True
129,abrasions,9,5,@breIZnz,8,a-bra-sions,True,True
130,abrasive,8,47,@breIsIv,8,a-bra-sive,True,True
131,abrasively,10,4,@breIsIvlI,10,a-bra-sive-ly,True,True
132,abrasives,9,3,@breIsIvz,9,a-bra-sives,True,True
133,abreast,7,38,@brEst,6,a-breast,True,True
134,abridge,7,4,@brIdZ,6,a-bridge,True,True
135,abridged,8,10,@brIdZd,7,a-bridged,True,True
136,abridging,9,1,@brIdZIN,8,a-bridg-ing,True,True
137,abridgment,10,3,@brIdZm@nt,10,a-bridg-ment,True,True
138,abroad,6,778,@br$d,5,a-broad,True,True
139,abrogate,8,4,{br@UgeIt,9,ab-ro-gate,True,True
140,abrogated,9,5,{br@UgeItId,11,ab-ro-gat-ed,True,True
141,abrogates,9,2,{br@UgeIts,10,ab-ro-gates,True,True
142,abrogating,10,1,{br@UgeItIN,11,ab-ro-gat-ing,True,True
143,abrogation,10,4,{br@UgeISn,10,ab-ro-ga-tion,True,True
144,abrupt,6,117,@brVpt,6,ab-rupt,True,True
145,abruptly,8,316,@brVptlI,8,ab-rupt-ly,True,True
146,abruptness,10,13,@brVptnIs,9,ab-rupt-ness,True,True
147,abscess,7,14,{bsIs,5,ab-scess,True,True
148,abscesses,9,7,{bsIsIz,7,ab-scess-es,True,True
149,abscond,7,4,@bskQnd,7,ab-scond,True,True
150,absconding,10,1,@bskQndIN,9,ab-scond-ing,True,True
151,absence,7,721,{bs@ns,6,ab-sence,True,True
152,absences,8,20,{bs@nsIz,8,ab-senc-es,True,True
153,absent,6,251,{bsEnt,6,ab-sent,True,True
154,absented,8,5,{bsEntId,8,ab-sent-ed,True,True
155,absentee,8,24,{bs@nti,7,ab-sen-tee,True,True
156,absenteeism,11,24,{bs@ntiIz@m,11,ab-sen-tee-ism,True,True
157,absentees,9,7,{bs@ntiz,8,ab-sen-tees,True,True
158,absenting,9,2,{bsEntIN,8,ab-sent-ing,True,True
159,absently,8,40,{bs@ntlI,8,ab-sent-ly,True,True
160,absentminded,12,21,{bs@ntmaIndId,13,ab-sent--mind-ed,True,True
161,absinth,7,2,{bsInT,6,ab-sinth,True,True
162,absolute,8,755,{bs@lut,7,ab-so-lute,True,True
163,absolutely,10,1487,{bs@lutlI,9,ab-so-lute-ly,True,True
164,absoluteness,12,7,{bs@lutnIs,10,ab-so-lute-ness,True,True
165,absolution,10,9,{bs@luSn,8,ab-so-lu-tion,True,True
166,absolutism,10,7,{bs@lutIz@m,11,ab-so-lut-ism,True,True
167,absolve,7,12,@bzQlv,6,ab-solve,True,True
168,absolved,8,15,@bzQlvd,7,ab-solved,True,True
169,absolves,8,5,@bzQlvz,7,ab-solves,True,True
170,absolving,9,3,@bzQlvIN,8,ab-solv-ing,True,True
171,absorb,6,216,@bs$b,5,ab-sorb,True,True
172,absorbed,8,355,@bs$bd,6,ab-sorbed,True,True
173,absorbent,9,16,@bs$b@nt,8,ab-sorb-ent,True,True
174,absorbing,9,83,@bs$bIN,7,ab-sorb-ing,True,True
175,absorbs,7,49,@bs$bz,6,ab-sorbs,True,True
176,absorption,10,72,@bs$pSn,7,ab-sorp-tion,True,True
177,abstain,7,40,@bsteIn,7,ab-stain,True,True
178,abstained,9,15,@bsteInd,8,ab-stained,True,True
179,abstainer,9,5,@bsteIn@r,9,ab-stain-er,True,True
180,abstainers,10,1,@bsteIn@z,9,ab-stain-ers,True,True
181,abstaining,10,7,@bsteInIN,9,ab-stain-ing,True,True
182,abstains,8,3,@bsteInz,8,ab-stains,True,True
183,abstemious,10,8,{bstimtS@s,10,ab-ste-mi-ous,True,True
184,abstemiously,12,1,{bstimtS@slI,12,ab-ste-mi-ous-ly,True,True
185,abstention,10,14,@bstEnSn,8,ab-sten-tion,True,True
186,abstentions,11,7,@bstEnSnz,9,ab-sten-tions,True,True
187,abstinence,10,38,{bstIn@ns,9,ab-sti-nence,True,True
188,abstract,8,419,{bstr{kt,8,ab-stract,True,True
189,abstracted,10,28,{bstr{ktId,10,ab-stract-ed,True,True
190,abstractedly,12,14,{bstr{ktIdlI,12,ab-stract-ed-ly,True,True
191,abstracting,11,9,{bstr{ktIN,10,ab-stract-ing,True,True
192,abstraction,11,70,{bstr{kSn,9,ab-strac-tion,True,True
193,abstractions,12,51,{bstr{kSnz,10,ab-strac-tions,True,True
194,abstracts,9,34,{bstr{kts,9,ab-stracts,True,True
195,abstruse,8,9,{bstrus,7,ab-struse,True,True
196,absurd,6,450,@bsOId,6,ab-surd,True,True
198,absurdity,9,114,@bsOId@tI,9,ab-surd-i-ty,True,True
199,absurdly,8,58,@bsOIdlI,8,ab-surd-ly,True,True
200,abundance,9,117,@bVnd@ns,8,a-bun-dance,True,True
201,abundant,8,168,@bVnd@nt,8,a-bun-dant,True,True
202,abundantly,10,65,@bVnd@ntlI,10,a-bun-dant-ly,True,True
203,abuse,5,277,@btSuz,6,a-buse,True,True
204,abused,6,65,@btSuzd,7,a-bused,True,True
205,abuses,6,57,@btSuzIz,8,a-bus-es,True,True
206,abusing,7,25,@btSuzIN,8,a-bus-ing,True,True
208,abutment,8,1,@bVtm@nt,8,a-but-ment,True,True
209,abysmal,7,16,@bIzml,6,a-bys-mal,True,True
210,abysmally,9,11,@bIzm@lI,8,a-bys-mal-ly,True,True
211,abyss,5,66,@bIs,4,a-byss,True,True
212,abysses,7,6,@bIsIz,6,a-byss-es,True,True
213,acacia,6,26,@keIS@,6,a-ca-cia,True,True
214,acacias,7,4,@keIS@z,7,a-ca-cias,True,True
215,academic,8,870,{k@dEmIk,8,ac-a-dem-ic,True,True
216,academically,12,38,{k@dEmIk@lI,11,ac-a-dem-i-cal-ly,True,True
217,academicals,11,3,{k@dEmIklz,10,ac-a-dem-i-cals,True,True
218,academician,11,7,@k{d@mISn,9,a-cad-e-mi-cian,True,True
219,academicians,12,4,@k{d@mISnz,10,ac-a-de-mi-cians,True,True
220,academics,9,145,{k@dEmIks,9,ac-a-dem-ics,True,True
221,academies,9,11,@k{d@mIz,8,a-cad-e-mies,True,True
222,academy,7,183,@k{d@mI,7,a-cad-e-my,True,True
223,accede,6,20,{ksid,5,ac-cede,True,True
224,acceded,7,10,{ksidId,7,ac-ced-ed,True,True
225,accedes,7,2,{ksidz,6,ac-cedes,True,True
226,acceding,8,4,{ksidIN,7,ac-ced-ing,True,True
227,accelerando,11,1,{ksEl@r{nd@U,12,ac-cel-er-an-do,True,True
228,accelerandos,12,1,@ksEl@r{nd@Uz,13,ac-cel-er-an-dos,True,True
229,accelerate,10,84,@ksEl@reIt,10,ac-cel-er-ate,True,True
230,accelerated,11,90,@ksEl@reItId,12,ac-cel-er-at-ed,True,True
231,accelerates,11,20,@ksEl@reIts,11,ac-cel-er-ates,True,True
232,accelerating,12,75,@ksEl@reItIN,12,ac-cel-er-at-ing,True,True
233,acceleration,12,143,@ksEl@reISn,11,ac-cel-er-a-tion,True,True
235,accelerators,12,4,@ksEl@reIt@z,12,ac-cel-er-a-tors,True,True
236,accent,6,458,{ksEnt,6,ac-cent,True,True
237,accented,8,25,{ksEntId,8,ac-cent-ed,True,True
238,accenting,9,2,{ksEntIN,8,ac-cent-ing,True,True
239,accents,7,86,{ksEnts,7,ac-cents,True,True
240,accentuate,10,20,{ksEnttSUeIt,12,ac-cen-tu-ate,True,True
241,accentuated,11,35,{ksEnttSUeItId,14,ac-cen-tu-at-ed,True,True
242,accentuates,11,6,{ksEnttSUeIts,13,ac-cen-tu-ates,True,True
243,accentuating,12,10,{ksEnttSUeItIN,14,ac-cen-tu-at-ing,True,True
244,accentuation,12,3,{ksEnttSUeISn,13,ac-cen-tu-a-tion,True,True
245,accept,6,1704,@ksEpt,6,ac-cept,True,True
248,acceptably,10,8,@ksEpt@blI,10,ac-cept-a-bly,True,True
249,acceptance,10,407,@ksEpt@ns,9,ac-cept-ance,True,True
250,acceptances,11,4,@ksEpt@nsIz,11,ac-cep-tanc-es,True,True
251,accepted,8,1610,@ksEptId,8,ac-cept-ed,True,True
252,accepting,9,266,@ksEptIN,8,ac-cept-ing,True,True
253,accepts,7,132,@ksEpts,7,ac-cepts,True,True
254,access,6,762,{ksEs,5,ac-cess,True,True
255,accessibility,13,27,@ksEs@bIl@tI,12,ac-ces-si-bil-i-ty,True,True
256,accessible,10,164,@ksEs@bl,8,ac-ces-si-ble,True,True
257,accession,9,19,{ksESn,6,ac-ces-sion,True,True
258,accessions,10,7,{ksESnz,7,ac-ces-sions,True,True
259,accessories,11,43,@ksEs@rIz,9,ac-ces-so-ries,True,True
260,accessory,9,18,@ksEs@rI,8,ac-ces-so-ry,True,True
261,accident,8,887,{ksId@nt,8,ac-ci-dent,True,True
262,accidental,10,156,{ksIdEntl,9,ac-ci-den-tal,True,True
263,accidentally,12,122,{ksIdEnt@lI,11,ac-ci-den-tal-ly,True,True
264,accidentprone,13,7,{ksId@ntpr@Un,13,ac-ci-dent--prone,True,True
265,accidents,9,362,{ksId@nts,9,ac-ci-dents,True,True
266,acclaim,7,39,@kleIm,6,ac-claim,True,True
267,acclaimed,9,30,@kleImd,7,ac-claimed,True,True
268,acclaiming,10,2,@kleImIN,8,ac-claim-ing,True,True
269,acclamation,11,6,{kl@meISn,9,ac-cla-ma-tion,True,True
270,acclimatize,11,8,@klaIm@taIz,11,ac-cli-ma-tize,True,True
271,acclimatized,12,10,@klaIm@taIzd,12,ac-cli-ma-tized,True,True
272,acclimatizing,13,4,@klaIm@taIzIN,13,ac-cli-ma-tiz-ing,True,True
274,accolade,8,23,{k@UleId,8,ac-co-lade,True,True
275,accolades,9,2,{k@UleIdz,9,ac-co-lades,True,True
277,accommodated,12,55,@kQm@deItId,11,ac-com-mo-dat-ed,True,True
278,accommodates,12,9,@kQm@deIts,10,ac-com-mo-dates,True,True
279,accommodating,13,36,@kQm@deItIN,11,ac-com-mo-dat-ing,True,True
280,accommodation,13,604,@kQm@deISn,10,ac-com-mo-da-tion,True,True
281,accompanied,11,555,@kVmp@nId,9,ac-com-pa-nied,True,True
282,accompanies,11,38,@kVmp@nIz,9,ac-com-pa-nies,True,True
283,accompaniment,13,75,@kVmp@nIm@nt,12,ac-com-pa-ni-ment,True,True
284,accompanist,11,4,@kVmp@nIst,10,ac-com-pa-nist,True,True
285,accompany,9,144,@kVmp@nI,8,ac-com-pa-ny,True,True
286,accompanying,12,121,@kVmp@nIIN,10,ac-com-pa-ny-ing,True,True
287,accomplice,10,37,@kVmplIs,8,ac-com-plice,True,True
288,accomplices,11,23,@kVmplIsIz,10,ac-com-plic-es,True,True
289,accomplish,10,88,@kVmplIS,8,ac-com-plish,True,True
290,accomplished,12,234,@kVmplISt,9,ac-com-plished,True,True
291,accomplishes,12,6,@kVmplISIz,10,ac-com-plish-es,True,True
293,accord,6,128,@k$d,4,ac-cord,True,True
294,accordance,10,134,@k$d@ns,7,ac-cord-ance,True,True
295,accorded,8,80,@k$dId,6,ac-cord-ed,True,True
296,according,9,1884,@k$dIN,6,ac-cord-ing,True,True
297,accordingly,11,249,@k$dINlI,8,ac-cord-ing-ly,True,True
299,accordions,10,3,@k$dtS@nz,9,ac-cor-di-ons,True,True
300,accords,7,27,@k$dz,5,ac-cords,True,True
301,accost,6,8,@kQst,5,ac-cost,True,True
302,accosted,8,25,@kQstId,7,ac-cost-ed,True,True
303,accosting,9,1,@kQstIN,7,ac-cost-ing,True,True
304,account,7,2150,@kaUnt,6,ac-count,True,True
305,accountable,11,82,@kaUnt@bl,9,ac-count-a-ble,True,True
306,accountably,11,1,@kaUnt@blI,10,ac-count-a-bly,True,True
307,accountancy,11,55,@kaUnt@nsI,10,ac-count-an-cy,True,True
308,accountant,10,98,@kaUnt@nt,9,ac-count-ant,True,True
310,accounted,9,145,@kaUntId,8,ac-count-ed,True,True
311,accounting,10,104,@kaUntIN,8,ac-count-ing,True,True
313,accoutrements,13,10,@kut@m@nts,10,ac-cou-tre-ments,True,True
314,accredited,10,25,@krEdItId,9,ac-cred-it-ed,True,True
315,accrediting,11,1,@krEdItIN,9,ac-cred-it-ing,True,True
316,accretion,9,7,{kriSn,6,ac-cre-tion,True,True
317,accretions,10,6,{kriSnz,7,ac-cre-tions,True,True
318,accrue,6,28,@kru,4,ac-crue,True,True
319,accrued,7,10,@krud,5,ac-crued,True,True
320,accrues,7,11,@kruz,5,ac-crues,True,True
321,accruing,8,23,@kruIN,6,ac-cru-ing,True,True
322,accumulate,10,60,@ktSumtSUleIt,13,ac-cu-mu-late,True,True
324,accumulates,11,23,@ktSumtSUleIts,14,ac-cu-mu-lates,True,True
325,accumulating,12,43,@ktSumtSUleItIN,15,ac-cu-mu-lat-ing,True,True
326,accumulation,12,100,@ktSumtSUleISn,14,ac-cu-mu-la-tion,True,True
327,accumulations,13,23,@ktSumtSUleISnz,15,ac-cu-mu-la-tions,True,True
328,accumulative,12,4,@ktSumtSUl@tIv,14,ac-cu-mu-la-tive,True,True
329,accumulator,11,4,@ktSumtSUleIt@r,15,ac-cu-mu-la-tor,True,True
330,accumulators,12,3,@ktSumtSUleIt@z,15,ac-cu-mu-la-tors,True,True
331,accuracy,8,235,{ktSUr@sI,9,ac-cu-ra-cy,True,True
332,accurate,8,377,{ktSUr@t,8,ac-cu-rate,True,True
333,accurately,10,219,{ktSUr@tlI,10,ac-cu-rate-ly,True,True
334,accursed,8,17,@kOIsId,7,ac-curs-ed,True,True
335,accursedly,10,1,@kOIsIdlI,9,ac-curs-ed-ly,True,True
337,accusation,10,113,{ktSuzeISn,10,ac-cu-sa-tion,True,True
338,accusations,11,103,{ktSuzeISnz,11,ac-cu-sa-tions,True,True
339,accusative,10,4,@ktSuz@tIv,10,ac-cu-sa-tive,True,True
340,accuse,6,92,@ktSuz,6,ac-cuse,True,True
341,accused,7,548,@ktSuzd,7,ac-cused,True,True
342,accuser,7,14,@ktSuz@r,8,ac-cus-er,True,True
343,accusers,8,19,@ktSuz@z,8,ac-cus-ers,True,True
344,accuses,7,15,@ktSuzIz,8,ac-cus-es,True,True
345,accusing,8,117,@ktSuzIN,8,ac-cus-ing,True,True
346,accusingly,10,19,@ktSuzINlI,10,ac-cus-ing-ly,True,True
347,accustom,8,16,@kVst@m,7,ac-cus-tom,True,True
349,accustoming,11,3,@kVst@mIN,9,ac-cus-tom-ing,True,True
350,accustoms,9,4,@kVst@mz,8,ac-cus-toms,True,True
351,ace,3,67,eIs,3,ace,True,True
352,acerbic,7,2,@sOIbIk,7,a-cer-bic,True,True
353,acerbity,8,1,@sOIb@tI,8,a-cer-bi-ty,True,True
354,aces,4,14,eIsIz,5,ac-es,True,True
355,acetate,7,13,{sIteIt,7,ac-e-tate,True,True
356,acetic,6,5,@sitIk,6,a-ce-tic,True,True
357,acetylene,9,4,@sEtIlin,8,a-cet-y-lene,True,True
358,ache,4,86,eIk,3,ache,True,True
359,ached,5,70,eIkt,4,ached,True,True
360,aches,5,40,eIks,4,aches,True,True
361,achievable,10,9,@tSiv@bl,8,a-chiev-a-ble,True,True
362,achieve,7,828,@tSiv,5,a-chieve,True,True
363,achieved,8,1040,@tSivd,6,a-chieved,True,True
364,achievement,11,515,@tSivm@nt,9,a-chieve-ment,True,True
365,achievements,12,198,@tSivm@nts,10,a-chieve-ments,True,True
366,achieves,8,53,@tSivz,6,a-chieves,True,True
367,achieving,9,200,@tSivIN,7,a-chiev-ing,True,True
368,achilles,8,62,@kIliz,6,A-chil-les,True,True
369,aching,6,108,eIkIN,5,ach-ing,True,True
370,acid,4,385,{sId,4,ac-id,True,True
371,acidic,6,15,@sIdIk,6,a-cid-ic,True,True
372,acidified,9,5,@sIdIfaId,9,a-cid-i-fied,True,True
373,acidifying,10,1,@sIdIfaIIN,10,a-cid-i-fy-ing,True,True
374,acidity,7,25,@sId@tI,7,a-cid-i-ty,True,True
375,acids,5,107,{sIdz,5,ac-ids,True,True
376,acidulous,9,2,@sIdtSUl@s,10,a-cid-u-lous,True,True
377,acknowledge,11,232,@knQlIdZ,8,ac-knowl-edge,True,True
378,acknowledged,12,280,@knQlIdZd,9,ac-knowl-edged,True,True
379,acknowledges,12,35,@knQlIdZIz,10,ac-knowl-edg-es,True,True
381,acme,4,8,{kmI,4,ac-me,True,True
382,acne,4,13,{knI,4,ac-ne,True,True
383,acolyte,7,11,{k@UlaIt,8,ac-o-lyte,True,True
384,acolytes,8,7,{k@UlaIts,9,ac-o-lytes,True,True
385,aconite,7,15,{k@naIt,7,ac-o-nite,True,True
386,aconites,8,4,{k@naIts,8,ac-o-nites,True,True
387,acorn,5,10,eIk$n,5,a-corn,True,True
388,acorns,6,19,eIk$nz,6,a-corns,True,True
389,acoustic,8,10,@kustIk,7,a-cous-tic,True,True
390,acoustically,12,6,@kustIk@lI,10,a-cous-ti-cal-ly,True,True
391,acoustics,9,19,@kustIks,8,a-cous-tics,True,True
392,acquaintance,12,208,@kweInt@ns,10,ac-quaint-ance,True,True
393,acquaintances,13,102,@kweInt@nsIz,12,ac-quaint-anc-es,True,True
394,acquiesce,9,16,{kwIEs,6,ac-qui-esce,True,True
395,acquiesced,10,15,{kwIEst,7,ac-qui-esced,True,True
396,acquiescence,12,28,{kwIEsns,8,ac-qui-es-cence,True,True
397,acquiescent,11,7,{kwIEsnt,8,ac-qui-es-cent,True,True
398,acquiescently,13,1,{kwIEsntlI,10,ac-qui-es-cent-ly,True,True
399,acquiesces,10,1,{kwIEsIz,8,ac-qui-esc-es,True,True
400,acquiescing,11,2,{kwIEsIN,8,ac-qui-esc-ing,True,True
401,acquire,7,308,@kwaI@r,7,ac-quire,True,True
402,acquired,8,580,@kwaI@d,7,ac-quired,True,True
403,acquirements,12,1,@kwaI@m@nts,11,ac-quire-ments,True,True
404,acquires,8,33,@kwaI@z,7,ac-quires,True,True
405,acquiring,9,114,@kwaI@rIN,9,ac-quir-ing,True,True
406,acquisition,11,178,{kwIzISn,8,ac-qui-si-tion,True,True
408,acquisitive,11,22,@kwIzItIv,9,ac-quis-i-tive,True,True
409,acquit,6,8,@kwIt,5,ac-quit,True,True
410,acquittal,9,19,@kwItl,6,ac-quit-tal,True,True
411,acquittals,10,3,@kwItlz,7,ac-quit-tals,True,True
412,acquitted,9,50,@kwItId,7,ac-quit-ted,True,True
413,acquitting,10,2,@kwItIN,7,ac-quit-ting,True,True
414,acre,4,266,eIk@r,5,a-cre,True,True
415,acreage,7,31,eIk@rIdZ,8,a-cre-age,True,True
416,acres,5,415,eIk@z,5,a-cres,True,True
417,acrid,5,33,{krId,5,ac-rid,True,True
418,acrimonious,11,18,{krIm@UntS@s,12,ac-ri-mo-ni-ous,True,True
420,acrimony,8,9,{krIm@nI,8,ac-ri-mo-ny,True,True
421,acrobat,7,8,{kr@b{t,7,ac-ro-bat,True,True
422,acrobatic,9,17,{kr@Ub{tIk,10,ac-ro-bat-ic,True,True
423,acrobatically,13,2,{kr@Ub{tIk@lI,13,ac-ro-bat-i-cal-ly,True,True
424,acrobatics,10,9,{kr@Ub{tIks,11,ac-ro-bat-ics,True,True
425,acrobats,8,11,{kr@b{ts,8,ac-ro-bats,True,True
426,acronym,7,7,{kr@UnIm,8,ac-ro-nym,True,True
427,acronyms,8,4,{kr@UnImz,9,ac-ro-nyms,True,True
428,acropolis,9,16,@krQp@lIs,9,A-crop-o-lis,True,True
429,across,6,5000,@krQs,5,a-cross,True,True
430,acrylic,7,27,@krIlIk,7,a-cryl-ic,True,True
431,act,3,3354,{kt,3,act,True,True
432,acted,5,460,{ktId,5,act-ed,True,True
433,acting,6,789,{ktIN,5,act-ing,True,True
435,actionable,10,6,{kSn@bl,7,ac-tion-a-ble,True,True
436,actions,7,917,{kSnz,5,ac-tions,True,True
437,activate,8,24,{ktIveIt,8,ac-ti-vate,True,True
438,activated,9,60,{ktIveItId,10,ac-ti-vat-ed,True,True
439,activates,9,5,{ktIveIts,9,ac-ti-vates,True,True
440,activating,10,7,{ktIveItIN,10,ac-ti-vat-ing,True,True
441,activation,10,13,{ktIveISn,9,ac-ti-va-tion,True,True
442,active,6,1017,{ktIv,5,ac-tive,True,True
443,actively,8,183,{ktIvlI,7,ac-tive-ly,True,True
