orig_idx,word,freq,pron,orthsyl,phonsyl,len,phlen
94,abetted,20,@bEtId,a-bet-ted,@-bE-tId,7,6
99,abetting,7,@bEtIN,a-bet-ting,@-bE-tIN,8,6
100,abettors,1,@bEt@z,a-bet-tors,@-bE-t@z,8,6
101,abeyance,17,@beI@ns,a-bey-ance,@-beI-@ns,8,7
102,abhor,12,@bh$r,ab-hor,@b-h$r,5,5
106,abhorred,15,@bh$d,ab-horred,@b-h$d,8,5
111,abhorrence,7,@bhQr@ns,ab-hor-rence,@b-hQ-r@ns,10,8
112,abhorrent,23,@bhQr@nt,ab-hor-rent,@b-hQ-r@nt,9,8
113,abhorring,1,@bh$rIN,ab-hor-ring,@b-h$-rIN,9,7
114,abhors,11,@bh$z,ab-hors,@b-h$z,6,5
115,abide,68,@baId,a-bide,@-baId,5,5
119,abided,5,@baIdId,a-bid-ed,@-baI-dId,6,7
124,abides,8,@baIdz,a-bides,@-baIdz,6,6
125,abiding,40,@baIdIN,a-bid-ing,@-baI-dIN,7,7
127,abilities,196,@bIl@tIz,a-bil-i-ties,@-bI-l@-tIz,9,8
128,ability,1361,@bIl@tI,a-bil-i-ty,@-bI-l@-tI,7,7
129,abject,57,{bdZEkt,ab-ject,{b-dZEkt,6,7
130,abjection,3,{bdZEkSn,ab-jec-tion,{b-dZEk-Sn,9,8
131,abjectly,4,{bdZEktlI,ab-ject-ly,{b-dZEkt-lI,8,9
132,abjure,4,@bdZU@r,ab-jure,@b-dZU@r,6,7
136,abjures,1,@bdZU@z,ab-jures,@b-dZU@z,7,7
137,ablative,2,{bl@tIv,ab-la-tive,{b-l@-tIv,8,7
139,ablaze,29,@bleIz,a-blaze,@-bleIz,6,6
141,able,5870,eIbl,a-ble,eI-bl,4,4
142,ablebodied,15,eIblbQdId,a-ble--bod-ied,eI-bl-bQ-dId,10,9
143,abler,3,eIbl@r,a-bler,eI-bl@r,5,6
144,ablest,14,eIblIst,a-blest,eI-blIst,6,7
145,ablution,2,@bluSn,ab-lu-tion,@-blu-Sn,8,6
146,ablutions,6,@bluSnz,ab-lu-tions,@-blu-Snz,9,7
148,ably,65,eIblI,a-bly,eI-blI,4,5
149,abnegating,1,{bnIgeItIN,ab-ne-gat-ing,{b-nI-geI-tIN,10,10
150,abnegation,2,{bnIgeISn,ab-ne-ga-tion,{b-nI-geI-Sn,10,9
151,abnormal,105,{bn$ml,ab-nor-mal,{b-n$-ml,8,6
152,abnormalities,15,{bn$m{l@tIz,ab-nor-mal-i-ties,{b-n$-m{-l@-tIz,13,11
153,abnormality,24,{bn$m{l@tI,ab-nor-mal-i-ty,{b-n$-m{-l@-tI,11,10
154,abnormally,28,{bn$m@lI,ab-nor-mal-ly,{b-n$-m@-lI,10,8
155,abo,6,{b@U,ab-o,{-b@U,3,4
156,aboard,285,@b$d,a-board,@-b$d,6,4
158,abode,27,@b@Ud,a-bode,@-b@Ud,5,5
159,abodes,4,@b@Udz,a-bodes,@-b@Udz,6,6
160,abolish,108,@bQlIS,a-bol-ish,@-bQ-lIS,7,6
164,abolished,155,@bQlISt,a-bol-ished,@-bQ-lISt,9,7
169,abolishes,3,@bQlISIz,a-bol-ish-es,@-bQ-lI-SIz,9,8
170,abolishing,35,@bQlISIN,a-bol-ish-ing,@-bQ-lI-SIN,10,8
171,abolition,139,{b@UlISn,ab-o-li-tion,{-b@U-lI-Sn,9,8
172,abolitionist,9,{b@UlIS@nIst,ab-o-li-tion-ist,{-b@U-lI-S@-nIst,12,12
173,abolitionists,13,{b@UlIS@nIsts,ab-o-li-tion-ists,{-b@U-lI-S@-nIsts,13,13
174,abomb,9,eIbQm,A--bomb,eI-bQm,5,5
175,abombs,3,eIbQmz,A--bombs,eI-bQmz,6,6
176,abominable,43,@bQmIn@bl,a-bom-i-na-ble,@-bQ-mI-n@-bl,10,9
177,abominably,18,@bQmIn@blI,a-bom-i-na-bly,@-bQ-mI-n@-blI,10,10
178,abominate,4,@bQmIneIt,a-bom-i-nate,@-bQ-mI-neIt,9,9
182,abominating,1,@bQmIneItIN,a-bom-i-nat-ing,@-bQ-mI-neI-tIN,11,11
183,abomination,21,@bQmIneISn,a-bom-i-na-tion,@-bQ-mI-neI-Sn,11,10
184,abominations,3,@bQmIneISnz,a-bom-i-na-tions,@-bQ-mI-neI-Snz,12,11
185,aboriginal,118,{b@rIdZ@nl,ab-o-rig-i-nal,{-b@-rI-dZ@-nl,10,10
187,aboriginals,5,{b@rIdZ@nlz,ab-o-rig-i-nals,{-b@-rI-dZ@-nlz,11,11
188,aborigine,17,{b@rIdZInI,Ab-o-rig-i-ne,{-b@-rI-dZI-nI,9,10
189,aborigines,1,{b@rIdZ@nIz,ab-o-rig-i-nes,{-b@-rI-dZ@-nIz,10,11
190,aborigines,49,{b@rIdZInIz,Ab-o-rig-i-nes,{-b@-rI-dZI-nIz,10,11
191,abort,12,@b$t,a-bort,@-b$t,5,4
195,aborted,20,@b$tId,a-bort-ed,@-b$-tId,7,6
200,aborting,3,@b$tIN,a-bort-ing,@-b$-tIN,8,6
201,abortion,290,@b$Sn,a-bor-tion,@-b$-Sn,8,5
202,abortionist,13,@b$SnIst,a-bor-tion-ist,@-b$-Sn-Ist,11,8
203,abortionists,5,@b$SnIsts,a-bor-tion-ists,@-b$-Sn-Ists,12,9
204,abortions,61,@b$Snz,a-bor-tions,@-b$-Snz,9,6
205,abortive,59,@b$tIv,a-bor-tive,@-b$-tIv,8,6
206,abound,40,@baUnd,a-bound,@-baUnd,6,6
210,abounded,20,@baUndId,a-bound-ed,@-baUn-dId,8,8
215,abounding,8,@baUndIN,a-bound-ing,@-baUn-dIN,9,8
216,abounds,16,@baUndz,a-bounds,@-baUndz,7,7
217,about,44684,@baUt,a-bout,@-baUt,5,5
219,aboutface,1,@baUtfeIs,a-bout--face,@-baUt-feIs,9,9
220,above,4020,@bVv,a-bove,@-bVv,5,4
224,aboveboard,2,@bVvb$d,a-bove-board,@-bVv-b$d,10,7
225,abovementioned,5,@bVvmEnSnd,a-bove--men-tioned,@-bVv-mEn-Snd,14,10
226,abovenamed,1,@bVvneImd,a-bove--named,@-bVv-neImd,10,9
227,abracadabra,2,{br@k@d{br@,ab-ra-ca-dab-ra,{-br@-k@-d{-br@,11,11
229,abraded,5,@breIdId,a-brad-ed,@-breI-dId,7,8
234,abrasion,4,@breIZn,a-bra-sion,@-breI-Zn,8,7
235,abrasions,5,@breIZnz,a-bra-sions,@-breI-Znz,9,8
236,abrasive,47,@breIsIv,a-bra-sive,@-breI-sIv,8,8
238,abrasively,4,@breIsIvlI,a-bra-sive-ly,@-breI-sIv-lI,10,10
239,abrasives,3,@breIsIvz,a-bra-sives,@-breI-sIvz,9,9
240,abreast,38,@brEst,a-breast,@-brEst,7,6
241,abridge,4,@brIdZ,a-bridge,@-brIdZ,7,6
245,abridged,10,@brIdZd,a-bridged,@-brIdZd,8,7
250,abridging,1,@brIdZIN,a-bridg-ing,@-brI-dZIN,9,8
251,abridgment,3,@brIdZm@nt,a-bridg-ment,@-brIdZ-m@nt,10,10
252,abroad,778,@br$d,a-broad,@-br$d,6,5
253,abrogate,4,{br@UgeIt,ab-ro-gate,{-br@U-geIt,8,9
257,abrogated,5,{br@UgeItId,ab-ro-gat-ed,{-br@U-geI-tId,9,11
262,abrogates,2,{br@UgeIts,ab-ro-gates,{-br@U-geIts,9,10
263,abrogating,1,{br@UgeItIN,ab-ro-gat-ing,{-br@U-geI-tIN,10,11
264,abrogation,4,{br@UgeISn,ab-ro-ga-tion,{-br@U-geI-Sn,10,10
265,abrupt,117,@brVpt,ab-rupt,@-brVpt,6,6
266,abruptly,316,@brVptlI,ab-rupt-ly,@-brVpt-lI,8,8
267,abruptness,13,@brVptnIs,ab-rupt-ness,@-brVpt-nIs,10,9
268,abscess,14,{bsIs,ab-scess,{b-sIs,7,5
269,abscesses,7,{bsIsIz,ab-scess-es,{b-sI-sIz,9,7
270,abscond,4,@bskQnd,ab-scond,@b-skQnd,7,7
274,absconding,1,@bskQndIN,ab-scond-ing,@b-skQn-dIN,10,9
275,absence,721,{bs@ns,ab-sence,{b-s@ns,7,6
276,absences,20,{bs@nsIz,ab-senc-es,{b-s@n-sIz,8,8
277,absent,16,{bsEnt,ab-sent,{b-sEnt,6,6
281,absent,235,{bs@nt,ab-sent,{b-s@nt,6,6
282,absented,5,{bsEntId,ab-sent-ed,{b-sEn-tId,8,8
287,absentee,24,{bs@nti,ab-sen-tee,{b-s@n-ti,8,7
288,absenteeism,24,{bs@ntiIz@m,ab-sen-tee-ism,{b-s@n-ti-I-z@m,11,11
289,absentees,7,{bs@ntiz,ab-sen-tees,{b-s@n-tiz,9,8
290,absenting,2,{bsEntIN,ab-sent-ing,{b-sEn-tIN,9,8
291,absently,40,{bs@ntlI,ab-sent-ly,{b-s@nt-lI,8,8
292,absentminded,21,{bs@ntmaIndId,ab-sent--mind-ed,{b-s@nt-maIn-dId,12,13
293,absentmindedly,17,{bs@ntmaIndIdlI,ab-sent--mind-ed-ly,{b-s@nt-maIn-dId-lI,14,15
294,absentmindedness,6,{bs@ntmaIndIdnIs,ab-sent--mind-ed-ness,{b-s@nt-maIn-dId-nIs,16,16
295,absinth,2,{bsInT,ab-sinth,{b-sInT,7,6
296,absolute,755,{bs@lut,ab-so-lute,{b-s@-lut,8,7
297,absolutely,1487,{bs@lutlI,ab-so-lute-ly,{b-s@-lut-lI,10,9
298,absoluteness,7,{bs@lutnIs,ab-so-lute-ness,{b-s@-lut-nIs,12,10
299,absolution,9,{bs@luSn,ab-so-lu-tion,{b-s@-lu-Sn,10,8
300,absolutism,7,{bs@lutIz@m,ab-so-lut-ism,{b-s@-lu-tI-z@m,10,11
301,absolve,12,@bzQlv,ab-solve,@b-zQlv,7,6
305,absolved,15,@bzQlvd,ab-solved,@b-zQlvd,8,7
310,absolves,5,@bzQlvz,ab-solves,@b-zQlvz,8,7
311,absolving,3,@bzQlvIN,ab-solv-ing,@b-zQl-vIN,9,8
312,absorb,216,@bs$b,ab-sorb,@b-s$b,6,5
316,absorbed,355,@bs$bd,ab-sorbed,@b-s$bd,8,6
321,absorbent,16,@bs$b@nt,ab-sorb-ent,@b-s$-b@nt,9,8
322,absorbing,83,@bs$bIN,ab-sorb-ing,@b-s$-bIN,9,7
324,absorbs,49,@bs$bz,ab-sorbs,@b-s$bz,7,6
325,absorption,72,@bs$pSn,ab-sorp-tion,@b-s$p-Sn,10,7
326,abstain,40,@bsteIn,ab-stain,@b-steIn,7,7
330,abstained,15,@bsteInd,ab-stained,@b-steInd,9,8
335,abstainer,5,@bsteIn@r,ab-stain-er,@b-steI-n@r,9,9
336,abstainers,1,@bsteIn@z,ab-stain-ers,@b-steI-n@z,10,9
337,abstaining,7,@bsteInIN,ab-stain-ing,@b-steI-nIN,10,9
338,abstains,3,@bsteInz,ab-stains,@b-steInz,8,8
339,abstemious,8,{bstimtS@s,ab-ste-mi-ous,{b-sti-mtS@s,10,10
340,abstemiously,1,{bstimtS@slI,ab-ste-mi-ous-ly,{b-sti-mtS@s-lI,12,12
341,abstemiousness,3,{bstimtS@snIs,ab-ste-mi-ous-ness,{b-sti-mtS@s-nIs,14,13
342,abstention,14,@bstEnSn,ab-sten-tion,@b-stEn-Sn,10,8
343,abstentions,7,@bstEnSnz,ab-sten-tions,@b-stEn-Snz,11,9
344,abstinence,38,{bstIn@ns,ab-sti-nence,{b-stI-n@ns,10,9
345,abstract,419,{bstr{kt,ab-stract,{b-str{kt,8,8
351,abstracted,28,{bstr{ktId,ab-stract-ed,{b-str{k-tId,10,10
357,abstractedly,14,{bstr{ktIdlI,ab-stract-ed-ly,{b-str{k-tId-lI,12,12
358,abstracting,9,{bstr{ktIN,ab-stract-ing,{b-str{k-tIN,11,10
360,abstraction,70,{bstr{kSn,ab-strac-tion,{b-str{k-Sn,11,9
361,abstractions,51,{bstr{kSnz,ab-strac-tions,{b-str{k-Snz,12,10
362,abstracts,34,{bstr{kts,ab-stracts,{b-str{kts,9,9
363,abstruse,9,{bstrus,ab-struse,{b-strus,8,7
364,absurd,450,@bsOId,ab-surd,@b-sOId,6,6
365,absurdities,17,@bsOId@tIz,ab-surd-i-ties,@b-sOI-d@-tIz,11,10
366,absurdity,114,@bsOId@tI,ab-surd-i-ty,@b-sOI-d@-tI,9,9
367,absurdly,58,@bsOIdlI,ab-surd-ly,@b-sOId-lI,8,8
368,abundance,117,@bVnd@ns,a-bun-dance,@-bVn-d@ns,9,8
369,abundant,168,@bVnd@nt,a-bun-dant,@-bVn-d@nt,8,8
370,abundantly,65,@bVnd@ntlI,a-bun-dant-ly,@-bVn-d@nt-lI,10,10
371,abuse,24,@btSuz,a-buse,@-btSuz,5,6
375,abuse,253,@btSus,a-buse,@-btSus,5,6
376,abused,65,@btSuzd,a-bused,@-btSuzd,6,7
381,abuses,8,@btSuzIz,a-bus-es,@-btSu-zIz,6,8
382,abuses,49,@btSusIz,a-bus-es,@-btSu-sIz,6,8
383,abusing,25,@btSuzIN,a-bus-ing,@-btSu-zIN,7,8
384,abusive,27,@btSusIv,a-bu-sive,@-btSu-sIv,7,8
385,abutment,1,@bVtm@nt,a-but-ment,@-bVt-m@nt,8,8
386,abysmal,16,@bIzml,a-bys-mal,@-bIz-ml,7,6
387,abysmally,11,@bIzm@lI,a-bys-mal-ly,@-bIz-m@-lI,9,8
388,abyss,66,@bIs,a-byss,@-bIs,5,4
389,abysses,6,@bIsIz,a-byss-es,@-bI-sIz,7,6
390,acacia,26,@keIS@,a-ca-cia,@-keI-S@,6,6
392,acacias,4,@keIS@z,a-ca-cias,@-keI-S@z,7,7
393,academic,870,{k@dEmIk,ac-a-dem-ic,{-k@-dE-mIk,8,8
395,academically,38,{k@dEmIk@lI,ac-a-dem-i-cal-ly,{-k@-dE-mI-k@-lI,12,11
396,academicals,3,{k@dEmIklz,ac-a-dem-i-cals,{-k@-dE-mI-klz,11,10
397,academician,7,@k{d@mISn,a-cad-e-mi-cian,@-k{-d@-mI-Sn,11,9
398,academicians,4,@k{d@mISnz,ac-a-de-mi-cians,@-k{-d@-mI-Snz,12,10
399,academics,145,{k@dEmIks,ac-a-dem-ics,{-k@-dE-mIks,9,9
400,academies,11,@k{d@mIz,a-cad-e-mies,@-k{-d@-mIz,9,8
401,academy,183,@k{d@mI,a-cad-e-my,@-k{-d@-mI,7,7
402,accede,20,{ksid,ac-cede,{k-sid,6,5
406,acceded,10,{ksidId,ac-ced-ed,{k-si-dId,7,7
411,accedes,2,{ksidz,ac-cedes,{k-sidz,7,6
412,acceding,4,{ksidIN,ac-ced-ing,{k-si-dIN,8,7
413,accelerando,1,{ksEl@r{nd@U,ac-cel-er-an-do,{k-sE-l@-r{n-d@U,11,12
414,accelerandos,1,@ksEl@r{nd@Uz,ac-cel-er-an-dos,@k-sE-l@-r{n-d@Uz,12,13
415,accelerate,84,@ksEl@reIt,ac-cel-er-ate,@k-sE-l@-reIt,10,10
419,accelerated,90,@ksEl@reItId,ac-cel-er-at-ed,@k-sE-l@-reI-tId,11,12
424,accelerates,20,@ksEl@reIts,ac-cel-er-ates,@k-sE-l@-reIts,11,11
425,accelerating,75,@ksEl@reItIN,ac-cel-er-at-ing,@k-sE-l@-reI-tIN,12,12
426,acceleration,143,@ksEl@reISn,ac-cel-er-a-tion,@k-sE-l@-reI-Sn,12,11
427,accelerator,34,@ksEl@reIt@r,ac-cel-er-a-tor,@k-sE-l@-reI-t@r,11,12
428,accelerators,4,@ksEl@reIt@z,ac-cel-er-a-tors,@k-sE-l@-reI-t@z,12,12
429,accent,458,{ksEnt,ac-cent,{k-sEnt,6,6
430,accented,25,{ksEntId,ac-cent-ed,{k-sEn-tId,8,8
435,accenting,2,{ksEntIN,ac-cent-ing,{k-sEn-tIN,9,8
436,accents,86,{ksEnts,ac-cents,{k-sEnts,7,7
437,accentuate,20,{ksEnttSUeIt,ac-cen-tu-ate,{k-sEn-ttSU-eIt,10,12
441,accentuated,35,{ksEnttSUeItId,ac-cen-tu-at-ed,{k-sEn-ttSU-eI-tId,11,14
446,accentuates,6,{ksEnttSUeIts,ac-cen-tu-ates,{k-sEn-ttSU-eIts,11,13
447,accentuating,10,{ksEnttSUeItIN,ac-cen-tu-at-ing,{k-sEn-ttSU-eI-tIN,12,14
448,accentuation,3,{ksEnttSUeISn,ac-cen-tu-a-tion,{k-sEn-ttSU-eI-Sn,12,13
449,accept,1704,@ksEpt,ac-cept,@k-sEpt,6,6
453,acceptability,17,@ksEpt@bIl@tI,ac-cept-a-bil-i-ty,@k-sEp-t@-bI-l@-tI,13,13
454,acceptable,518,@ksEpt@bl,ac-cept-a-ble,@k-sEp-t@-bl,10,9
455,acceptably,8,@ksEpt@blI,ac-cept-a-bly,@k-sEp-t@-blI,10,10
456,acceptance,407,@ksEpt@ns,ac-cept-ance,@k-sEp-t@ns,10,9
457,acceptances,4,@ksEpt@nsIz,ac-cep-tanc-es,@k-sEp-t@n-sIz,11,11
458,accepted,1610,@ksEptId,ac-cept-ed,@k-sEp-tId,8,8
463,accepting,266,@ksEptIN,ac-cept-ing,@k-sEp-tIN,9,8
464,accepts,132,@ksEpts,ac-cepts,@k-sEpts,7,7
465,access,762,{ksEs,ac-cess,{k-sEs,6,5
466,accessibility,27,@ksEs@bIl@tI,ac-ces-si-bil-i-ty,@k-sE-s@-bI-l@-tI,13,12
467,accessible,164,@ksEs@bl,ac-ces-si-ble,@k-sE-s@-bl,10,8
468,accession,19,{ksESn,ac-ces-sion,{k-sE-Sn,9,6
469,accessions,7,{ksESnz,ac-ces-sions,{k-sE-Snz,10,7
470,accessories,43,@ksEs@rIz,ac-ces-so-ries,@k-sE-s@-rIz,11,9
471,accessory,18,@ksEs@rI,ac-ces-so-ry,@k-sE-s@-rI,9,8
472,accident,887,{ksId@nt,ac-ci-dent,{k-sI-d@nt,8,8
473,accidental,156,{ksIdEntl,ac-ci-den-tal,{k-sI-dEn-tl,10,9
474,accidentally,122,{ksIdEnt@lI,ac-ci-den-tal-ly,{k-sI-dEn-t@-lI,12,11
475,accidentprone,7,{ksId@ntpr@Un,ac-ci-dent--prone,{k-sI-d@nt-pr@Un,13,13
476,accidents,362,{ksId@nts,ac-ci-dents,{k-sI-d@nts,9,9
477,acclaim,39,@kleIm,ac-claim,@-kleIm,7,6
482,acclaimed,30,@kleImd,ac-claimed,@-kleImd,9,7
487,acclaiming,2,@kleImIN,ac-claim-ing,@-kleI-mIN,10,8
488,acclamation,6,{kl@meISn,ac-cla-ma-tion,{-kl@-meI-Sn,11,9
489,acclimatization,6,@klaIm@taIzeISn,ac-cli-ma-ti-za-tion,@-klaI-m@-taI-zeI-Sn,15,15
490,acclimatize,8,@klaIm@taIz,ac-cli-ma-tize,@-klaI-m@-taIz,11,11
494,acclimatized,10,@klaIm@taIzd,ac-cli-ma-tized,@-klaI-m@-taIzd,12,12
499,acclimatizing,4,@klaIm@taIzIN,ac-cli-ma-tiz-ing,@-klaI-m@-taI-zIN,13,13
500,acclivity,1,@klIv@tI,ac-cliv-i-ty,@-klI-v@-tI,9,8
501,accolade,23,{k@UleId,ac-co-lade,{-k@U-leId,8,8
502,accolades,2,{k@UleIdz,ac-co-lades,{-k@U-leIdz,9,9
503,accommodate,180,@kQm@deIt,ac-com-mo-date,@-kQ-m@-deIt,11,9
507,accommodated,55,@kQm@deItId,ac-com-mo-dat-ed,@-kQ-m@-deI-tId,12,11
512,accommodates,9,@kQm@deIts,ac-com-mo-dates,@-kQ-m@-deIts,12,10
513,accommodating,36,@kQm@deItIN,ac-com-mo-dat-ing,@-kQ-m@-deI-tIN,13,11
515,accommodatingly,2,@kQm@deItINlI,ac-com-mo-dat-ing-ly,@-kQ-m@-deI-tIN-lI,15,13
516,accommodation,604,@kQm@deISn,ac-com-mo-da-tion,@-kQ-m@-deI-Sn,13,10
517,accommodations,8,@kQm@deISnz,ac-com-mo-da-tions,@-kQ-m@-deI-Snz,14,11
519,accompanied,555,@kVmp@nId,ac-com-pa-nied,@-kVm-p@-nId,11,9
524,accompanies,38,@kVmp@nIz,ac-com-pa-nies,@-kVm-p@-nIz,11,9
525,accompaniment,75,@kVmp@nIm@nt,ac-com-pa-ni-ment,@-kVm-p@-nI-m@nt,13,12
526,accompaniments,4,@kVmp@nIm@nts,ac-com-pa-ni-ments,@-kVm-p@-nI-m@nts,14,13
527,accompanist,4,@kVmp@nIst,ac-com-pa-nist,@-kVm-p@-nIst,11,10
528,accompany,144,@kVmp@nI,ac-com-pa-ny,@-kVm-p@-nI,9,8
532,accompanying,121,@kVmp@nIIN,ac-com-pa-ny-ing,@-kVm-p@-nI-IN,12,10
533,accomplice,37,@kVmplIs,ac-com-plice,@-kVm-plIs,10,8
534,accomplices,23,@kVmplIsIz,ac-com-plic-es,@-kVm-plI-sIz,11,10
535,accomplish,88,@kVmplIS,ac-com-plish,@-kVm-plIS,10,8
539,accomplished,234,@kVmplISt,ac-com-plished,@-kVm-plISt,12,9
545,accomplishes,6,@kVmplISIz,ac-com-plish-es,@-kVm-plI-SIz,12,10
546,accomplishing,15,@kVmplISIN,ac-com-plish-ing,@-kVm-plI-SIN,13,10
547,accomplishment,57,@kVmplISm@nt,ac-com-plish-ment,@-kVm-plIS-m@nt,14,12
548,accomplishments,34,@kVmplISm@nts,ac-com-plish-ments,@-kVm-plIS-m@nts,15,13
549,accord,128,@k$d,ac-cord,@-k$d,6,4
554,accordance,134,@k$d@ns,ac-cord-ance,@-k$-d@ns,10,7
555,accorded,80,@k$dId,ac-cord-ed,@-k$-dId,8,6
560,according,1884,@k$dIN,ac-cord-ing,@-k$-dIN,9,6
561,accordingly,249,@k$dINlI,ac-cord-ing-ly,@-k$-dIN-lI,11,8
562,accordion,15,@k$dtS@n,ac-cor-di-on,@-k$-dtS@n,9,8
563,accordions,3,@k$dtS@nz,ac-cor-di-ons,@-k$-dtS@nz,10,9
564,accords,27,@k$dz,ac-cords,@-k$dz,7,5
566,accost,8,@kQst,ac-cost,@-kQst,6,5
570,accosted,25,@kQstId,ac-cost-ed,@-kQ-stId,8,7
575,accosting,1,@kQstIN,ac-cost-ing,@-kQ-stIN,9,7
576,account,2150,@kaUnt,ac-count,@-kaUnt,7,6
581,accountable,82,@kaUnt@bl,ac-count-a-ble,@-kaUn-t@-bl,11,9
582,accountably,1,@kaUnt@blI,ac-count-a-bly,@-kaUn-t@-blI,11,10
583,accountancy,55,@kaUnt@nsI,ac-count-an-cy,@-kaUn-t@n-sI,11,10
584,accountant,98,@kaUnt@nt,ac-count-ant,@-kaUn-t@nt,10,9
585,accountants,95,@kaUnt@nts,ac-count-ants,@-kaUn-t@nts,11,10
586,accounted,145,@kaUntId,ac-count-ed,@-kaUn-tId,9,8
591,accounting,104,@kaUntIN,ac-count-ing,@-kaUn-tIN,10,8
592,accounts,578,@kaUnts,ac-counts,@-kaUnts,8,7
594,accoutrements,10,@kut@m@nts,ac-cou-tre-ments,@-ku-t@-m@nts,13,10
595,accredited,25,@krEdItId,ac-cred-it-ed,@-krE-dI-tId,10,9
601,accrediting,1,@krEdItIN,ac-cred-it-ing,@-krE-dI-tIN,11,9
602,accretion,7,{kriSn,ac-cre-tion,{-kri-Sn,9,6
603,accretions,6,{kriSnz,ac-cre-tions,{-kri-Snz,10,7
604,accrue,28,@kru,ac-crue,@-kru,6,4
608,accrued,10,@krud,ac-crued,@-krud,7,5
613,accrues,11,@kruz,ac-crues,@-kruz,7,5
614,accruing,23,@kruIN,ac-cru-ing,@-kru-IN,8,6
615,accumulate,60,@ktSumtSUleIt,ac-cu-mu-late,@-ktSu-mtSU-leIt,10,13
619,accumulated,165,@ktSumtSUleItId,ac-cu-mu-lat-ed,@-ktSu-mtSU-leI-tId,11,15
624,accumulates,23,@ktSumtSUleIts,ac-cu-mu-lates,@-ktSu-mtSU-leIts,11,14
625,accumulating,43,@ktSumtSUleItIN,ac-cu-mu-lat-ing,@-ktSu-mtSU-leI-tIN,12,15
